Accession,Protein,Organism_Name,Species,Genus,Family,Genotype,Isolate,Length,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
YP_009109741.1,replication associated protein,Blackbird associated gemycircularvirus 1,Gemycircularvirus blabi1,Gemycircularvirus,Genomoviridae,,as41,339,New Zealand,New Zealand,Ovis aries,feces,"Sikorski,A., Massaro,M., Kraberger,S., Young,L.M., Smalley,D., Martin,D.P., Varsani,A., Young,L., Roumagnac,P.",2009,2014-11-26,ssDNA
YP_009058946.1,Cap,Caribou associated gemykrogvirus 1,Gemykrogvirus carib1,Gemykrogvirus,Genomoviridae,,FaGmCV-13,318,Canada,Canada,,,"Ng,T.F., Chen,L.F., Zhou,Y., Shapiro,B., Stiller,M., Heintzman,P.D., Varsani,A., Kondov,N.O., Wong,W., Deng,X., Andrews,T.D., Moorman,B.J., Meulendyk,T., MacKay,G., Gilbertson,R.L., Delwart,E., Ng,T.F.F., Chen,L.-F., Gilbertson,R.",2012-01-01,2014-09-23,ssDNA
YP_009058947.1,Rep,Caribou associated gemykrogvirus 1,Gemykrogvirus carib1,Gemykrogvirus,Genomoviridae,,FaGmCV-13,206,Canada,Canada,,,"Ng,T.F., Chen,L.F., Zhou,Y., Shapiro,B., Stiller,M., Heintzman,P.D., Varsani,A., Kondov,N.O., Wong,W., Deng,X., Andrews,T.D., Moorman,B.J., Meulendyk,T., MacKay,G., Gilbertson,R.L., Delwart,E., Ng,T.F.F., Chen,L.-F., Gilbertson,R.",2012-01-01,2014-09-23,ssDNA
YP_009051830.1,capsid protein,Bovine associated gemykibivirus 1,Gemykibivirus bovas1,Gemykibivirus,Genomoviridae,,HCBI8.215 (I.10E.5),311,Germany,Germany,,blood,"Lamberto,I., Gunst,K., Muller,H., Zur Hausen,H., de Villiers,E.M., De Villiers,E.M.",,2014-08-13,ssDNA
YP_009051831.1,replication associated protein,Bovine associated gemykibivirus 1,Gemykibivirus bovas1,Gemykibivirus,Genomoviridae,,HCBI8.215 (I.10E.5),104,Germany,Germany,,blood,"Lamberto,I., Gunst,K., Muller,H., Zur Hausen,H., de Villiers,E.M., De Villiers,E.M.",,2014-08-13,ssDNA
YP_009051832.1,replication associated protein,Bovine associated gemykibivirus 1,Gemykibivirus bovas1,Gemykibivirus,Genomoviridae,,HCBI8.215 (I.10E.5),196,Germany,Germany,,blood,"Lamberto,I., Gunst,K., Muller,H., Zur Hausen,H., de Villiers,E.M., De Villiers,E.M.",,2014-08-13,ssDNA
YP_009051833.1,capsid protein,HCBI9.212 virus,Gemykrogvirus bovas1,Gemykrogvirus,Genomoviridae,,HCBI9.212 (S.8B.1),294,Germany,Germany,,blood,"Lamberto,I., Gunst,K., Muller,H., Zur Hausen,H., de Villiers,E.M., De Villiers,E.M.",,2014-08-13,ssDNA
YP_009051834.1,replication associated protein,HCBI9.212 virus,Gemykrogvirus bovas1,Gemykrogvirus,Genomoviridae,,HCBI9.212 (S.8B.1),103,Germany,Germany,,blood,"Lamberto,I., Gunst,K., Muller,H., Zur Hausen,H., de Villiers,E.M., De Villiers,E.M.",,2014-08-13,ssDNA
YP_009051835.1,replication protein,HCBI9.212 virus,Gemykrogvirus bovas1,Gemykrogvirus,Genomoviridae,,HCBI9.212 (S.8B.1),244,Germany,Germany,,blood,"Lamberto,I., Gunst,K., Muller,H., Zur Hausen,H., de Villiers,E.M., De Villiers,E.M.",,2014-08-13,ssDNA
YP_009051836.1,capsid protein,MSSI2.225 virus,Gemykibivirus humas1,Gemykibivirus,Genomoviridae,,MSSI2.225 (ms23.49),300,Germany,Germany,,blood,"Lamberto,I., Gunst,K., Muller,H., Zur Hausen,H., de Villiers,E.M., De Villiers,E.M.",,2014-08-13,ssDNA
YP_009051837.1,replication associated protein,MSSI2.225 virus,Gemykibivirus humas1,Gemykibivirus,Genomoviridae,,MSSI2.225 (ms23.49),108,Germany,Germany,,blood,"Lamberto,I., Gunst,K., Muller,H., Zur Hausen,H., de Villiers,E.M., De Villiers,E.M.",,2014-08-13,ssDNA
YP_009051838.1,replication protein,MSSI2.225 virus,Gemykibivirus humas1,Gemykibivirus,Genomoviridae,,MSSI2.225 (ms23.49),232,Germany,Germany,,blood,"Lamberto,I., Gunst,K., Muller,H., Zur Hausen,H., de Villiers,E.M., De Villiers,E.M.",,2014-08-13,ssDNA
YP_009021851.1,putative coat protein,Dragonfly-associated circular virus 3,Gemyduguivirus draga1,Gemyduguivirus,Genomoviridae,,TO-DFS3B2-2010,289,Tonga: Tongatapu,Tonga,Pantala flavescens,,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2010-04-28,2014-04-08,ssDNA
YP_009021852.1,spliced replication-associated protein,Dragonfly-associated circular virus 3,Gemyduguivirus draga1,Gemyduguivirus,Genomoviridae,,TO-DFS3B2-2010,323,Tonga: Tongatapu,Tonga,Pantala flavescens,,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2010-04-28,2014-04-08,ssDNA
YP_009021853.1,replication-associated protein,Dragonfly-associated circular virus 3,Gemyduguivirus draga1,Gemyduguivirus,Genomoviridae,,TO-DFS3B2-2010,97,Tonga: Tongatapu,Tonga,Pantala flavescens,,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2010-04-28,2014-04-08,ssDNA
YP_009021854.1,replication-associated protein,Dragonfly-associated circular virus 3,Gemyduguivirus draga1,Gemyduguivirus,Genomoviridae,,TO-DFS3B2-2010,256,Tonga: Tongatapu,Tonga,Pantala flavescens,,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2010-04-28,2014-04-08,ssDNA
YP_009021855.1,putative coat protein,Dragonfly-associated circular virus 2,Gemycircularvirus draga1,Gemycircularvirus,Genomoviridae,,FL2-5X-2010,309,"USA: St. Petersburg, Florida",USA,Erythemis simplicicollis,,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2010-09-19,2014-04-08,ssDNA
YP_009021856.1,spliced replication-associated protein,Dragonfly-associated circular virus 2,Gemycircularvirus draga1,Gemycircularvirus,Genomoviridae,,FL2-5X-2010,319,"USA: St. Petersburg, Florida",USA,Erythemis simplicicollis,,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2010-09-19,2014-04-08,ssDNA
YP_009021857.1,replication-associated protein,Dragonfly-associated circular virus 2,Gemycircularvirus draga1,Gemycircularvirus,Genomoviridae,,FL2-5X-2010,91,"USA: St. Petersburg, Florida",USA,Erythemis simplicicollis,,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2010-09-19,2014-04-08,ssDNA
YP_009021858.1,replication-associated protein,Dragonfly-associated circular virus 2,Gemycircularvirus draga1,Gemycircularvirus,Genomoviridae,,FL2-5X-2010,201,"USA: St. Petersburg, Florida",USA,Erythemis simplicicollis,,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2010-09-19,2014-04-08,ssDNA
YP_009021859.1,putative coat protein,Dragonfly associated gemykibivirus 1,Gemykibivirus draga1,Gemykibivirus,Genomoviridae,,FL1-2X-2010,290,"USA: St. Petersburg, Florida",USA,Miathyria marcella,,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2010-09-15,2014-04-08,ssDNA
YP_009021860.1,spliced replication-associated protein,Dragonfly associated gemykibivirus 1,Gemykibivirus draga1,Gemykibivirus,Genomoviridae,,FL1-2X-2010,318,"USA: St. Petersburg, Florida",USA,Miathyria marcella,,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2010-09-15,2014-04-08,ssDNA
YP_009021861.1,replication-associated protein,Dragonfly associated gemykibivirus 1,Gemykibivirus draga1,Gemykibivirus,Genomoviridae,,FL1-2X-2010,77,"USA: St. Petersburg, Florida",USA,Miathyria marcella,,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2010-09-15,2014-04-08,ssDNA
YP_009021862.1,replication-associated protein,Dragonfly associated gemykibivirus 1,Gemykibivirus draga1,Gemykibivirus,Genomoviridae,,FL1-2X-2010,249,"USA: St. Petersburg, Florida",USA,Miathyria marcella,,"Rosario,K., Dayaram,A., Marinov,M., Ware,J., Kraberger,S., Stainton,D., Breitbart,M., Varsani,A.",2010-09-15,2014-04-08,ssDNA
YP_009021042.1,capsid protein,Cassava associated gemycircularvirus 1,Gemycircularvirus cassa1,Gemycircularvirus,Genomoviridae,,G14,315,Ghana,Ghana,Manihot esculenta,,"Dayaram,A., Opong,A., Jaschke,A., Hadfield,J., Baschiera,M., Dobson,R.C., Offei,S.K., Shepherd,D.N., Martin,D.P., Varsani,A., Jaeschke,A., Dobson,R.C.J.",2010,2014-03-28,ssDNA
YP_009021043.1,replication-associated protein,Cassava associated gemycircularvirus 1,Gemycircularvirus cassa1,Gemycircularvirus,Genomoviridae,,G14,329,Ghana,Ghana,Manihot esculenta,,"Dayaram,A., Opong,A., Jaschke,A., Hadfield,J., Baschiera,M., Dobson,R.C., Offei,S.K., Shepherd,D.N., Martin,D.P., Varsani,A., Jaeschke,A., Dobson,R.C.J.",2010,2014-03-28,ssDNA
YP_003104795.1,coat protein,Sclerotinia sclerotiorum hypovirulence associated DNA virus 1,Gemycircularvirus sclero1,Gemycircularvirus,Genomoviridae,,,312,China,China,Sclerotinia sclerotiorum,,"Yu,X., Li,B., Fu,Y., Jiang,D., Ghabrial,S.A., Li,G., Peng,Y., Xie,J., Cheng,J., Huang,J., Yi,X.",,2009-08-20,ssDNA
YP_003104796.1,replication-associated protein,Sclerotinia sclerotiorum hypovirulence associated DNA virus 1,Gemycircularvirus sclero1,Gemycircularvirus,Genomoviridae,,,324,China,China,Sclerotinia sclerotiorum,,"Yu,X., Li,B., Fu,Y., Jiang,D., Ghabrial,S.A., Li,G., Peng,Y., Xie,J., Cheng,J., Huang,J., Yi,X.",,2009-08-20,ssDNA
XTP75411.1,capsid protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,GSMFGV-1,315,China,China,Rhinopithecus roxellana,feces,"Ye,W.",2023-06,2025-05-20,ssDNA
XTP75412.1,replication-associated protein,Genomoviridae sp.,Genomoviridae sp.,,Genomoviridae,,GSMFGV-1,244,China,China,Rhinopithecus roxellana,feces,"Ye,W.",2023-06,2025-05-20,ssDNA
XQO32490.1,capsid,Porcine associated gemykibivirus,Porcine associated gemykibivirus,Gemykibivirus,Genomoviridae,,CN-2024,322,,,Sus scrofa,,"Wang,W., Yuan,L., Zhang,M., Zhao,Q., Pang,W., Sun,D., Jia,X., Tan,F., Sun,X., Tian,K., Li,X.",,2025-04-01,ssDNA
XQO32491.1,replication-associated protein,Porcine associated gemykibivirus,Porcine associated gemykibivirus,Gemykibivirus,Genomoviridae,,CN-2024,320,,,Sus scrofa,,"Wang,W., Yuan,L., Zhang,M., Zhao,Q., Pang,W., Sun,D., Jia,X., Tan,F., Sun,X., Tian,K., Li,X.",,2025-04-01,ssDNA
XKQ96659.1,capsid protein,Apodemus sylvaticus feces associated gemycircularvirus 1,Apodemus sylvaticus feces associated gemycircularvirus 1,Gemycircularvirus,Genomoviridae,,,311,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96660.1,replication associated protein,Apodemus sylvaticus feces associated gemycircularvirus 1,Apodemus sylvaticus feces associated gemycircularvirus 1,Gemycircularvirus,Genomoviridae,,,344,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96661.1,replication associated protein,Apodemus sylvaticus feces associated gemycircularvirus 2,Apodemus sylvaticus feces associated gemycircularvirus 2,Gemycircularvirus,Genomoviridae,,,297,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96662.1,capsid protein,Apodemus sylvaticus feces associated gemycircularvirus 2,Apodemus sylvaticus feces associated gemycircularvirus 2,Gemycircularvirus,Genomoviridae,,,306,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96663.1,capsid protein,Apodemus sylvaticus feces associated gemycircularvirus 3,Apodemus sylvaticus feces associated gemycircularvirus 3,Gemycircularvirus,Genomoviridae,,,320,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96664.1,replication associated protein,Apodemus sylvaticus feces associated gemycircularvirus 3,Apodemus sylvaticus feces associated gemycircularvirus 3,Gemycircularvirus,Genomoviridae,,,318,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96665.1,capsid protein,Apodemus sylvaticus feces associated gemycircularvirus 4,Apodemus sylvaticus feces associated gemycircularvirus 4,Gemycircularvirus,Genomoviridae,,,312,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96666.1,replication associated protein,Apodemus sylvaticus feces associated gemycircularvirus 4,Apodemus sylvaticus feces associated gemycircularvirus 4,Gemycircularvirus,Genomoviridae,,,329,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96667.1,capsid protein,Apodemus sylvaticus feces associated gemycircularvirus 5,Apodemus sylvaticus feces associated gemycircularvirus 5,Gemycircularvirus,Genomoviridae,,,310,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96668.1,replication associated protein,Apodemus sylvaticus feces associated gemycircularvirus 5,Apodemus sylvaticus feces associated gemycircularvirus 5,Gemycircularvirus,Genomoviridae,,,251,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96669.1,capsid protein,Apodemus sylvaticus feces associated gemycircularvirus 6,Apodemus sylvaticus feces associated gemycircularvirus 6,Gemycircularvirus,Genomoviridae,,,313,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96670.1,replication associated protein,Apodemus sylvaticus feces associated gemycircularvirus 6,Apodemus sylvaticus feces associated gemycircularvirus 6,Gemycircularvirus,Genomoviridae,,,325,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96671.1,replication associated protein,Apodemus sylvaticus feces associated gemycircularvirus 7,Apodemus sylvaticus feces associated gemycircularvirus 7,Gemycircularvirus,Genomoviridae,,,330,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96672.1,capsid protein,Apodemus sylvaticus feces associated gemycircularvirus 7,Apodemus sylvaticus feces associated gemycircularvirus 7,Gemycircularvirus,Genomoviridae,,,310,"Spain: Serra, Valencia",Spain,Apodemus sylvaticus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-03-08,2024-11-25,ssDNA
XKQ96673.1,replication associated protein,Sorex coronatus feces associated gemycircularvirus 1,Sorex coronatus feces associated gemycircularvirus 1,Gemycircularvirus,Genomoviridae,,,333,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96674.1,capsid protein,Sorex coronatus feces associated gemycircularvirus 1,Sorex coronatus feces associated gemycircularvirus 1,Gemycircularvirus,Genomoviridae,,,308,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96677.1,capsid protein,Sorex coronatus feces associated gemycircularvirus 3,Sorex coronatus feces associated gemycircularvirus 3,Gemycircularvirus,Genomoviridae,,,290,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96678.1,replication associated protein,Sorex coronatus feces associated gemycircularvirus 3,Sorex coronatus feces associated gemycircularvirus 3,Gemycircularvirus,Genomoviridae,,,317,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96679.1,replication associated protein,Sorex coronatus feces associated gemycircularvirus 4,Sorex coronatus feces associated gemycircularvirus 4,Gemycircularvirus,Genomoviridae,,,373,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96680.1,capsid protein,Sorex coronatus feces associated gemycircularvirus 4,Sorex coronatus feces associated gemycircularvirus 4,Gemycircularvirus,Genomoviridae,,,309,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96681.1,capsid protein,Sorex coronatus feces associated genomovirus 1,Sorex coronatus feces associated genomovirus 1,,Genomoviridae,,,360,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96682.1,replication associated protein,Sorex coronatus feces associated genomovirus 1,Sorex coronatus feces associated genomovirus 1,,Genomoviridae,,,310,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96683.1,replication associated protein,Sorex coronatus feces associated gemycircularvirus 5,Sorex coronatus feces associated gemycircularvirus 5,Gemycircularvirus,Genomoviridae,,,325,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96684.1,capsid protein,Sorex coronatus feces associated gemycircularvirus 5,Sorex coronatus feces associated gemycircularvirus 5,Gemycircularvirus,Genomoviridae,,,313,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96685.1,replication associated protein,Sorex coronatus feces associated gemycircularvirus 6,Sorex coronatus feces associated gemycircularvirus 6,Gemycircularvirus,Genomoviridae,,,329,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96686.1,capsid protein,Sorex coronatus feces associated gemycircularvirus 6,Sorex coronatus feces associated gemycircularvirus 6,Gemycircularvirus,Genomoviridae,,,280,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96687.1,replication associated protein,Sorex coronatus feces associated gemycircularvirus 7,Sorex coronatus feces associated gemycircularvirus 7,Gemycircularvirus,Genomoviridae,,,326,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96688.1,capsid protein,Sorex coronatus feces associated gemycircularvirus 7,Sorex coronatus feces associated gemycircularvirus 7,Gemycircularvirus,Genomoviridae,,,310,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96689.1,replication associated protein,Sorex coronatus feces associated genomovirus 2,Sorex coronatus feces associated genomovirus 2,,Genomoviridae,,,315,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96690.1,capsid protein,Sorex coronatus feces associated genomovirus 2,Sorex coronatus feces associated genomovirus 2,,Genomoviridae,,,357,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96691.1,replication associated protein,Sorex coronatus feces associated gemycircularvirus 8,Sorex coronatus feces associated gemycircularvirus 8,Gemycircularvirus,Genomoviridae,,,357,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96692.1,capsid protein,Sorex coronatus feces associated gemycircularvirus 8,Sorex coronatus feces associated gemycircularvirus 8,Gemycircularvirus,Genomoviridae,,,308,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96693.1,replication associated protein,Sorex coronatus feces associated gemycircularvirus 9,Sorex coronatus feces associated gemycircularvirus 9,Gemycircularvirus,Genomoviridae,,,329,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96694.1,capsid protein,Sorex coronatus feces associated gemycircularvirus 9,Sorex coronatus feces associated gemycircularvirus 9,Gemycircularvirus,Genomoviridae,,,304,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96695.1,capsid protein,Sorex coronatus feces associated gemycircularvirus 10,Sorex coronatus feces associated gemycircularvirus 10,Gemycircularvirus,Genomoviridae,,,315,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96696.1,replication associated protein,Sorex coronatus feces associated gemycircularvirus 10,Sorex coronatus feces associated gemycircularvirus 10,Gemycircularvirus,Genomoviridae,,,334,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96697.1,capsid protein,Sorex coronatus feces associated gemycircularvirus 11,Sorex coronatus feces associated gemycircularvirus 11,Gemycircularvirus,Genomoviridae,,,298,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
XKQ96698.1,replication associated protein,Sorex coronatus feces associated gemycircularvirus 11,Sorex coronatus feces associated gemycircularvirus 11,Gemycircularvirus,Genomoviridae,,,356,"Spain: Lierganes, Cantabria",Spain,Sorex coronatus,feces,"Buigues,J., Vinals,A., Martinez-Recio,R., Monros,J.S., Sanjuan,R., Cuevas,J.M., S Monros,J.",2022-07-28,2024-11-25,ssDNA
WVS72228.1,capsid,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000051/2020,322,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2020,2024-02-13,ssDNA
WVS72229.1,replication associated protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000051/2020,320,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2020,2024-02-13,ssDNA
WVS72230.1,hypothetical protein,Human associated gemykibivirus 2,Gemykibivirus humas2,Gemykibivirus,Genomoviridae,,Nepal/N0000051/2020,233,Nepal,Nepal,Homo sapiens,cerebrospinal fluid,"Tuladhar,E.T., Shrestha,S., Vernon,S., Droit,L., Mihindukulasuriya,K.A., Tamang,M., Karki,L., Elong,A., Jha,B., Awal,B.K., Jha,R., Shresta,S., Wang,D., Manandhar,K.D.",2020,2024-02-13,ssDNA
